username,id,tweet,polarity,subjectivity
user-7193,1,"Lately, I’ve been reflecting on the importance of mental health. It’s okay not to be okay. #MentalHealthMatters",0.15,0.45
user-1081,2,Did you see the news about the new regulations on data privacy? It’s about time! #DataProtection,0.17045454545454544,0.45454545454545453
user-6835,3,Just had the best cup of coffee at my favorite café. Can’t start my day without it! ☕️ #CoffeeLover,0.8125,0.65
user-7363,4,"Success isn’t just about what you accomplish, but also about what you inspire others to do. #Inspiration",0.3,0.0
user-6617,5,Taking a moment to appreciate the little things in life today. Gratitude makes everything better. 🙏 #Mindfulness,0.15625,0.5
user-7498,6,"If at first you don’t succeed, call it version 1.0. 😄 #Humor",0.25,0.3333333333333333
user-1306,7,I can’t believe how much work I have left to do! Feeling overwhelmed right now. 😩 #Stress,0.1619047619047619,0.24523809523809526
user-9427,8,Taking a moment to appreciate the little things in life today. Gratitude makes everything better. 🙏 #Mindfulness,0.15625,0.5
user-3783,9,I can’t believe how much work I have left to do! Feeling overwhelmed right now. 😩 #Stress,0.1619047619047619,0.24523809523809526
user-6014,10,Learning to say no has been the best thing for my personal growth. #SelfCare,0.5,0.3
user-7851,11,Did you know that phishing attacks are one of the most common cybersecurity threats? Always double-check your emails! #StaySafe,0.0625,0.5
user-4413,12,Why does it always rain on the weekends? I just want to enjoy some sun! 🌧️ #WeatherWoes,0.5,0.5
user-9394,13,Understanding how data breaches happen can help us prevent them. Knowledge is power! #CyberAware,0.0,0.0
user-7056,14,"Every step forward, no matter how small, is progress. Keep moving! 🚀 #PositiveVibes",-0.3125,0.4
user-8187,15,"Every step forward, no matter how small, is progress. Keep moving! 🚀 #PositiveVibes",-0.3125,0.4
user-1132,16,"Success isn’t just about what you accomplish, but also about what you inspire others to do. #Inspiration",0.3,0.0
user-6044,17,"If at first you don’t succeed, call it version 1.0. 😄 #Humor",0.25,0.3333333333333333
user-9662,18,Debugging: Being the detective in a crime movie where you are also the murderer. 🕵️‍♂️ #DeveloperLife,0.0,0.0
user-7253,19,I can’t believe how much work I have left to do! Feeling overwhelmed right now. 😩 #Stress,0.1619047619047619,0.24523809523809526
user-1196,20,Caught up with an old friend today. It’s amazing how time flies! #Friendship,0.42500000000000004,0.55
user-3690,21,Another disappointing episode in my favorite series. Why do they keep changing the plot? #TVFrustration,-0.04999999999999999,0.85
user-7770,22,Another disappointing episode in my favorite series. Why do they keep changing the plot? #TVFrustration,-0.04999999999999999,0.85
user-2862,23,"If at first you don’t succeed, call it version 1.0. 😄 #Humor",0.25,0.3333333333333333
user-5279,24,Did you know that phishing attacks are one of the most common cybersecurity threats? Always double-check your emails! #StaySafe,0.0625,0.5
user-6842,25,Did you see the news about the new regulations on data privacy? It’s about time! #DataProtection,0.17045454545454544,0.45454545454545453
user-7294,26,Debugging: Being the detective in a crime movie where you are also the murderer. 🕵️‍♂️ #DeveloperLife,0.0,0.0
user-8279,27,Another disappointing episode in my favorite series. Why do they keep changing the plot? #TVFrustration,-0.04999999999999999,0.85
user-1765,28,Excited to learn about the latest trends in AI and how they’re shaping our future! #TechTalk,0.2916666666666667,0.5916666666666667
user-9532,29,"Lately, I’ve been reflecting on the importance of mental health. It’s okay not to be okay. #MentalHealthMatters",0.15,0.45
user-2716,30,Why does it always rain on the weekends? I just want to enjoy some sun! 🌧️ #WeatherWoes,0.5,0.5
user-9404,31,Taking a moment to appreciate the little things in life today. Gratitude makes everything better. 🙏 #Mindfulness,0.15625,0.5
user-4108,32,Why did the programmer quit his job? Because he didn’t get arrays! 😂 #ProgrammingJokes,0.0,0.0
user-3686,33,Another disappointing episode in my favorite series. Why do they keep changing the plot? #TVFrustration,-0.04999999999999999,0.85
user-7406,34,I can’t believe how much work I have left to do! Feeling overwhelmed right now. 😩 #Stress,0.1619047619047619,0.24523809523809526
user-7815,35,Did you know that phishing attacks are one of the most common cybersecurity threats? Always double-check your emails! #StaySafe,0.0625,0.5
user-5451,36,"If at first you don’t succeed, call it version 1.0. 😄 #Humor",0.25,0.3333333333333333
